id_unity,id_bondash,Ticket
8115.0,191.0,AAPL
4711.0,238.0,NVDA
1370.0,233.0,MSFT
8191.0,187.0,AMZN
795.0,217.0,GOOG
1291.0,250.0,TSLA
3109.0,375.0,AVGO
693.0,380.0,LLY
9115.0,256.0,WMT
7582.0,226.0,JPM
7320.0,255.0,V
7137.0,229.0,MA
4957.0,239.0,ORCL
4476.0,317.0,UNH
3278.0,210.0,XOM
7654.0,204.0,COST
6359.0,236.0,NFLX
9504.0,220.0,HD
9213.0,240.0,PG
6670.0,1666.0,JNJ
8940.0,193.0,BAC
3924.0,300.0,ABBV
1155.0,199.0,CAT
5573.0,200.0,CVX
5033.0,257.0,WFC
6396.0,1677.0,PLTR
1623.0,201.0,CSCO
5213.0,184.0,BABA
8254.0,433.0,IBM
1139.0,228.0,MS
8634.0,244.0,PM
8050.0,173.0,ABT
6381.0,231.0,MRK
2053.0,230.0,MCD
3768.0,361.0,ISRG
47,1,EURUSD
37,37,GBPUSD
41,50,USDJPY
30,6,AUDUSD
64,44,USDCAD
12,42,NZDUSD
36,45,USDCHF
76,15,EURGBP
26,13,EURCHF
35,32,GBPJPY
